"Plot","SampleID","Sample_Type","Aquatic_Type","Date","Landcover","Latitude","Longitude","Temp_water_degC","pH","DO_per","Cond_uscm","TDS_mgL","mvorp","Velocity_m_s","Discharge_m3s","WindSpeed_mean_ms","Temp_air_degC","Slope","DistancetoOutlet_m","CN","conc_CH4_mM","conc_CO2_mM","DOC_mgL","TDN_mgL","del_DIC","pCO2_uatm","CO2Flux_gm2d","k600","NOSC_median","NOSC_mean","NOSC_std","GFE_median","GFE_mean","GFE_std","DBE_median","DBE_mean","DBE_std","AI_median","AI_mean","AI_std","Shannon_Diversity","Raos_Elemental_Comp","Amino_sugar","Carbohydrate","Cond_HC","Lignin","Lipid","Protein","Tannin","Unsat_HC","Other","dist_km"
"39","39SW","surface","Stream",2023-07-18,"Peatland",68.35665,19.04162,14.82,6.59,59.8,0.07,24,160.7,0.002,0.029248,3.63021276595745,10.8877083333333,0.00063701019355292,1137.36284098673,NA,0.003640593,0.506911793,NA,NA,-10.84,5030.34665265412,4.49730476884137,2.02361949191977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13736284098673
"4","4 Surf","surface","Stream",2023-07-12,"Tundra",68.32526,18.99332,12.8,6.66,60.4,0.05,26,119.2,0.189,0.00174825,5.20895833333333,19.27625,0.189835301986648,9152.92189791317,18.5920885233745,0.01877448,0.411960236,2.155645704,0.115944247,-13.89,3173.06052420449,100.339324997074,74.5781846584928,-0.25,-0.22603463002332,0.43290087204362,67.425,66.7419869556646,12.3376748532432,12,11.9224939717534,4.2437598062071,-0.0625,-0.108410302673375,0.629393159144235,7.56329853576244,0.268501025189273,0.86,0.75,8.19,74.19,1.54,6.68,7.06,0.69,0.03,9.15292189791317
"40","40SW","surface","Stream",2023-07-18,"Forest",68.35059,19.0425,14.73,7.1,63.8,0.07,36,78,1.048,0.34846,3.63021276595745,10.8877083333333,0.0178192337537204,2317.80232315952,26.7990074578236,0.08631529,0.516852063,5.527435045,0.206255215,-10.995,1955.85855476078,41.2285870164065,55.074416362847,-0.0999999999999996,-0.0905061598142902,0.449520012989468,63.15,62.8794255547073,12.8113203701999,13,12.6233137322726,4.4920070750269,-0.0555555555555556,-0.125049983322886,0.895865052430938,7.71589589249682,0.266104394076878,0.69,0.83,14.69,66.31,0.58,5.09,10.87,0.93,NA,2.31780232315952
"41","41SW","surface","Stream",2023-07-18,"Forest",68.35057,19.04415,14.73,7.07,63.8,0.07,35,70.4,0.454347826086956,0.130625,3.63021276595745,10.8877083333333,0.0198250129896926,2249.81786838765,NA,NA,0.476671694,NA,NA,-11.78,1911.80952522503,20.0855530877377,27.6101698649495,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.24981786838765
"42","42SW","surface","Stream",2023-07-18,"Forest",68.351,19.04483,14.75,7.07,63.9,0.07,35,-18.9,0.3265625,0.130625,3.63021276595745,10.8877083333333,0.0179046410926148,2172.7640807492,NA,0.111809447,0.539147009,NA,NA,-10.835,2163.00162406966,15.7970028512924,18.6312825576887,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1727640807492
"43","43SW","surface","Stream",2023-07-18,"Peatland",68.35153,19.0453,14.75,6.97,60.4,0.07,35,28.6,0.48218899963086,0.130625,3.63021276595745,10.8877083333333,0.00416086500879426,2095.3262373651,NA,0.076661195,0.503670148,NA,NA,-10.225,2426.28954701048,7.52042122053436,7.71996459811452,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0953262373651
"44","44SW","surface","Stream",2023-07-18,"Peatland",68.35193,19.04514,14.7,7.07,61.7,0.07,35,148,0.007,0.0030485,3.63021276595745,10.8877083333333,0.0111502612910151,2033.08167838971,35.0403871246316,NA,0.498590262,5.493957769,0.1567893,-10.595,1997.02487042503,1.72267762197745,2.24174524629442,-0.457142857142857,-0.427544653826453,0.361029887223368,73.3285714285714,72.4850226340539,10.289351785866,11,11.2616279069767,4.03203197111469,0,-0.0704664726932529,0.578447781415681,7.23799850968445,0.266059842835829,1.27,0.63,3,81.07,2.94,8.89,1.1,1.04,0.06,2.03308167838971
"45","45SW","surface","Stream",2023-07-18,"Peatland",68.35241,19.04492,14.57,6.49,48,0.07,36,-34.2,0.229166666666667,0.130625,3.63021276595745,10.8877083333333,1e-05,1976.90578084043,NA,0.117349008,0.510920036,NA,NA,-9.765,5126.03958917521,4.60171748747376,2.026510625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.97690578084043
"46","46SW","surface","Stream",2023-07-18,"Peatland",68.35287,19.04481,14.63,6.68,63.6,0.07,36,22,0.477430555555556,0.130625,3.63021276595745,10.8877083333333,0.00092284704897282,1899.32985924815,NA,0.122351215,0.521602484,NA,NA,-9.68,4046.51418228845,5.73260061366626,3.27173147254556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89932985924815
"47","47SW","surface","Stream",2023-07-18,"Peatland",68.35317,19.04419,14.59,6.63,62.5,0.07,35,30.8,0.107466063348416,0.130625,3.63021276595745,10.8877083333333,0.0008447814296417,1850.18505640013,NA,NA,0.505388686,NA,NA,-9.91,4210.41593799759,4.17117325221506,2.2779211356936,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.85018505640013
"48","48SW","surface","Stream",2023-07-18,"Peatland",68.35357,19.04382,14.46,6.7,59.6,0.07,35,10.8,0.09,0.117936,3.63021276595745,10.8877083333333,0.00050270261144809,1759.67600270454,26.5700059939788,0.036277044,0.573248583,5.740852676,0.216065163,-11.18,4297.03891691844,4.02587332289113,2.14853603072116,-0.0625,-0.042285322055462,0.470805723927675,62.08125,61.5051316785807,13.4179631319387,12,12.0549158547387,3.98630744783699,-0.0625,-0.185973224128167,0.887430034996076,7.52025411777722,0.253704545730506,0.57,0.62,14.95,63.73,0.75,4.02,15.13,0.22,NA,1.75967600270454
